ts	phase	decision	why	evidence	result
2026-08-25T17:36:13Z	frame	exit predicate is reports/eval_A_CRPS_z32_ablation.md with seed-42 cells 1-3 scored vs A_CRPS_z32 pins	autonomous-run needs a checkable stop	reports/NEXT_A_CRPS_z32_roni_ops_heave.md	open
2026-08-25T17:36:13Z	cell1	RONI/ONI only on 4ee013 32-PC cache, no PCA refit	one factor at a time, splice at load	config/argo/config_argo_A_CRPS_z32_roni.json	open
2026-08-25T17:42:49Z	cell2	paired heave-ops inputs with 4ee013 32-PC PCA, PatchConvMLP not HeaveResidualFast	ops cache was 16-PC; profiles matched so copy not refit	data/cache/train_ready_heave_ops_pca32.pkl	open
2026-08-25T17:42:49Z	cell3	HeaveResidualFast with physical T/S CRPS after unwarp, 16+16 residual PCs, ONI/RONI, no ops	keep z32 recipe on decoded profiles; warp CRPS-on-mix is the control not this cell	config/argo/config_argo_A_CRPS_z32_heave.json	open
2026-08-25T17:44:07Z	how	superseded explainer claim that heave physical CRPS and config_argo_A_CRPS_z32.json were missing	those landed in this session before the explainer returned; ops PCA was paired not rebuilt from 16-PC base	parse_config.py:53 model/loss.py:1415 config/argo/config_argo_A_CRPS_z32.json	stale explainer, trains live
2026-08-25T17:53:20Z	cell2	ops scored T RMSE 0.535 and 50-200 ENCE(T) val-a 0.247 vs pins 0.560 and 0.415	T RMSE and thermocline ENCE gates. pooled ENCE(T) 0.371 fails. not ingest.	reports/eval_A_CRPS_z32_ops_s42.json reports/eval_A_CRPS_z32_ops_cal.json	ops win on two gates, RONI and heave still training
2026-08-25T18:07:00Z	cell1	RONI scored T RMSE 0.538 and 50-200 ENCE(T) val-a 0.411	T RMSE gate. 50-200 ENCE barely under 0.415. pooled ENCE 0.180 misses 0.135 pin.	reports/eval_A_CRPS_z32_roni_s42.json	roni win on two gates
2026-08-25T18:07:00Z	cell3	heave s2 crashed at epoch 459 on TensorBoard bins=auto histogram OOM	guard histograms with finite check and bins=50 then resume checkpoint	trainer/trainer.py	resume launched
2026-08-25T18:21:00Z	cell3	heave protocol ckpt T RMSE 0.570 ENCE(T) a 0.257 50-200 0.381	val ENCE stop beat 50-200 gate only. T RMSE lost.	reports/eval_A_CRPS_z32_heave_s42.json	cells 1-3 scored, predicate met
2026-08-27T13:41:57Z	frame	matched hillclimb not a fresh three-cell train	NEXT prompt already has seed-42 eval JSON and checkpoints from 2026-08-25	reports/eval_A_CRPS_z32_ablation.md reports/A_CRPS_z32_ablation.json	INCONCLUSIVE until files on disk checked
2026-08-27T13:41:58Z	harness	froze ruler as eval_run raw_profile_rmse plus eval_acrps_phys ENCE(T) with val-alpha picker	same chrono test n=623 and same pins as A_CRPS_z32.json	reports/A_CRPS_z32.json NeSPReSO2_onTemplate/scripts/eval_acrps_phys.py	baseline T 0.560 S 0.095 ENCE raw 0.164 val-alpha 0.135 band 50-200 0.415
2026-08-27T13:41:58Z	verify	confirmed three model_best.pth files and three caches exist	prove against artifacts not the markdown table	saved/acrps_z32_{roni,ops,heave}/.../model_best.pth data/cache/train_ready_{4ee013852d33,heave_ops_pca32,3adcff404b0b}.pkl	checkpoints present
2026-08-27T13:41:58Z	roni	keep RONI/ONI cell as T RMSE win, not ingest	T 0.538 <= 0.545 one-seed gate; pooled val-alpha ENCE 0.180 misses 0.135; 50-200 ENCE 0.411 barely under 0.415	reports/eval_A_CRPS_z32_roni_s42.json reports/eval_A_CRPS_z32_roni_cal.json	kept T RMSE; 50-200 ENCE marginal
2026-08-27T13:41:58Z	ops	keep ops cell as T RMSE and 50-200 ENCE win, pooled cal fails	T 0.535; 50-200 val-alpha ENCE 0.247; pooled val-alpha ENCE 0.371 tanks	reports/eval_A_CRPS_z32_ops_s42.json reports/eval_A_CRPS_z32_ops_cal.json	kept T RMSE and thermocline ENCE; not ingest
2026-08-27T13:41:58Z	heave	keep heave 16+16 as 50-200 ENCE-only, T RMSE loss	T 0.570 worse than 0.560; 50-200 val-alpha ENCE 0.381 < 0.415; protocol is val ENCE stop	reports/eval_A_CRPS_z32_heave_s42.json reports/eval_A_CRPS_z32_heave_cal.json	kept band ENCE only; skip 32+32 residual PCA
2026-08-27T13:41:58Z	skip	do not retrain and do not run ops+heave combo	cells already answer the question; combo is a full two-stage GPU job; this shell has no NVIDIA driver	nvidia-smi failed; reports/eval_A_CRPS_z32_ablation.md line 28	reverted/not started
2026-08-27T13:41:58Z	skip	do not extend thermocline_scorecard.py	script is wired to phase5 A_CRPS and stock HeaveFast paths; NEXT D26 box is extra after gates are scored	NeSPReSO2_onTemplate/scripts/thermocline_scorecard.py	not run
2026-08-27T13:41:58Z	stop	stop hillclimb; predicate is the three-factor answer plus registry	no cheap untried cell that can change the headline without a new GPU train	.audit/a-crps-z32-ablation.tsv	predicate met
2026-08-27T13:43:41Z	how	eval_acrps_phys uses the config dataloader so RONI splice applies on eval	inject_enso is in NeSPReSODataLoader init, not in eval_acrps_phys.py itself	NeSPReSO2_onTemplate/scripts/eval_acrps_phys.py:21-27	closed
2026-08-27T13:43:41Z	how	heave physical CRPS still adds geom MSE and dT/dz unlike PatchConvMLP z32	do not treat heave ENCE as the same objective as A_CRPS_z32	NeSPReSO2_onTemplate/model/loss.py HeaveResidualLoss.forward	open caveat
2026-08-27T13:43:41Z	audit	GPT trail review flags n=623 as weak split proof and ops PCA copy as path-only evidence	do not overclaim cache pairing or D26 skip	.audit/a-crps-z32-ablation.tsv rows 4 12 13 17-19	flags kept
2026-08-27T13:44:18Z	how	stage-2 val_ence resume may inherit stage-1 monitor_best val_loss	first ENCE can look like an instant win if leftover val_loss is larger	NeSPReSO2_onTemplate/base/base_trainer.py _resume_checkpoint	open caveat
